# focal mechanisms (psmeca -Sa: lon lat depth strike dip rake mag)
# locations+depths+magnitudes from the real IEB catalogue (186 largest, 1973-2025);
# orientations representative of the documented mix (74% dextral strike-slip,
# 17% normal, 9% reverse); M>=5.5 forced strike-slip.
29.0820 40.2730 10.0 112 86 171 3.9
29.3280 41.2520 17.8 107 46 -86 3.9
29.3690 40.4120 10.0 108 45 114 3.9
29.8960 40.6860 22.4 113 46 -97 3.9
27.4830 40.7140 10.0 77 86 170 3.9
27.6850 40.8020 10.0 63 79 174 3.9
29.5670 40.2440 10.0 112 85 -173 3.9
27.5970 40.7000 10.0 66 78 174 3.9
29.0190 40.4930 10.0 86 82 -167 3.9
27.4470 40.7210 6.0 74 87 169 3.9
28.4820 40.9570 10.0 64 83 -178 3.9
27.5720 40.7440 9.3 103 43 -74 3.9
26.9270 40.6380 0.0 112 79 173 3.9
27.4300 40.7440 10.0 94 48 -85 3.9
27.3300 40.5910 7.6 98 48 84 3.8
29.2870 40.7210 19.4 110 81 -178 3.8
27.4420 40.7080 10.0 84 84 168 3.8
27.3750 40.6830 10.0 113 79 -173 3.8
27.4840 40.6630 17.4 94 81 168 3.8
28.0170 40.4510 14.3 73 84 170 3.8
29.0970 40.9160 10.0 82 86 179 3.8
27.3030 40.2880 11.6 62 81 174 3.8
27.1370 40.5260 10.0 115 41 -103 3.8
